1430139116082 - info: 2015-04-27T12:51:56.069Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"f72281c9-224f-b3e8-4831-d80f019928b4","aparams":[["edca46bc-3389-99a2-32c0-a59665fcb6a7"],{"rtype":"data","expr":10000,"subDbGuid":"3374ed95-e22d-beb2-dab5-ac3ca5f3efcc"},null],"func":"loadNewRoots"};13 ms
1430139116086 - info: 2015-04-27T12:51:56.086Z;deserialize;1 ms
1430139116087 - info: 2015-04-27T12:51:56.087Z;serialize;0 ms
1430139116088 - info: 2015-04-27T12:51:56.069Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"f72281c9-224f-b3e8-4831-d80f019928b4","aparams":[["edca46bc-3389-99a2-32c0-a59665fcb6a7"],{"rtype":"data","expr":10000,"subDbGuid":"3374ed95-e22d-beb2-dab5-ac3ca5f3efcc"},null],"func":"loadNewRoots"};19 ms
1430139116325 - info: 2015-04-27T12:51:56.324Z;sendDelta;1 ms
1430139116326 - info: 2015-04-27T12:51:56.325Z;sendDelta;1 ms
1430139116330 - info: 2015-04-27T12:51:56.330Z;sendDelta;0 ms
1430139116331 - info: 2015-04-27T12:51:56.331Z;sendDelta;0 ms
1430139116339 - info: 2015-04-27T12:51:56.339Z;deserialize;1 ms
1430139116340 - info: 2015-04-27T12:51:56.340Z;serialize;0 ms
1430139116341 - info: 2015-04-27T12:51:56.326Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"f72281c9-224f-b3e8-4831-d80f019928b4","aparams":[["edca46bc-3389-99a2-32c0-a59665fcb6a7"],{"rtype":"data","expr":10000,"subDbGuid":"3374ed95-e22d-beb2-dab5-ac3ca5f3efcc"},null],"func":"loadNewRoots"};15 ms
1430139134309 - info: 2015-04-27T12:52:14.305Z;connect;3 ms
1430139134318 - info: 2015-04-27T12:52:14.317Z;getGuids;1 ms
1430139134326 - info: 2015-04-27T12:52:14.326Z;testIntf;0 ms
1430139134334 - info: 2015-04-27T12:52:14.333Z;subscribe;1 ms
1430139134345 - info: 2015-04-27T12:52:14.340Z;subscribeManyRoots;5 ms
1430139134675 - info: 2015-04-27T12:52:14.673Z;connect;2 ms
1430139135641 - info: 2015-04-27T12:52:15.641Z;getGuids;0 ms
1430139135642 - info: 2015-04-27T12:52:15.642Z;testIntf;0 ms
1430139136670 - info: 2015-04-27T12:52:16.669Z;subscribe;1 ms
1430139137639 - info: 2015-04-27T12:52:17.638Z;subscribeManyRoots;1 ms
